RECORDNO,ACCOUNTNO,TITLE,ACCOUNTTYPE,NORMALBALANCE,CLOSINGTYPE,REQUIREDEPT,REQUIRELOC,TAXABLE,CATEGORY,CATEGORYKEY,TAXCODE,MRCCODE,CLOSETOACCTKEY,ALTERNATIVEACCOUNT,SUBLEDGERCONTROLON,STATUS,WHENMODIFIED,WHENCREATED,CREATEDBY,MODIFIEDBY,MEGAENTITYKEY,MEGAENTITYID,MEGAENTITYNAME,REQUIREPROJECT,REQUIRECUSTOMER,REQUIREVENDOR,REQUIREEMPLOYEE,REQUIREITEM,REQUIRECLASS,REQUIRETASK,REQUIREWAREHOUSE,REQUIRECOSTTYPE,ddsReadTime
1,10000,"Cash and Equivalents","balancesheet","debit","non-closing account",false,false,false,"Cash and Cash Equivalents",50,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-06-24T17:34:08Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
2,20000,"Accounts Payable","balancesheet","debit","non-closing account",false,false,false,"Accounts Payable",207,,,,"None",false,"active",2024-03-19T20:51:16Z,2020-06-24T17:34:26Z,5,79,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
3,12000,"Intercompany Accounts Receivable","balancesheet","debit","non-closing account",false,false,false,"Accounts Receivable",206,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-06-24T17:34:41Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
4,10900,"Undeposited Funds","balancesheet","debit","non-closing account",false,false,false,"Cash and Cash Equivalents",50,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T18:12:05Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
11,11000,"Accounts Receivable","balancesheet","debit","non-closing account",false,false,false,"Accounts Receivable",206,,,,"None",false,"active",2024-03-19T20:51:00Z,2020-07-06T19:06:02Z,5,79,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
12,11010,"Allowance for Bad Debt","balancesheet","debit","non-closing account",false,false,false,"Accounts Receivable",206,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:02Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
13,11020,"Accounts Receivable Other","balancesheet","debit","non-closing account",false,false,false,"Accounts Receivable",206,,,,"None",false,"active",2020-07-06T19:06:03Z,2020-07-06T19:06:03Z,5,5,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
14,11060,"Accounts Receivable - Vendor Rebates Clearing","balancesheet","debit","non-closing account",false,false,false,"Accounts Receivable",206,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
18,13000,"Prepaid Insurance","balancesheet","debit","non-closing account",false,false,false,"Prepaid Expenses",54,,,,"None",false,"active",2023-05-22T21:01:47Z,2020-07-06T19:06:03Z,5,29,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
19,14000,"Inventory","balancesheet","debit","non-closing account",false,false,false,"Inventory",5,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
20,14900,"Inventory Clearing","balancesheet","debit","non-closing account",false,false,false,"Inventory",5,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
21,15000,"Furniture & Fixtures","balancesheet","debit","non-closing account",false,false,false,"Fixed Assets",58,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
22,15010,"Office Equipment","balancesheet","debit","non-closing account",false,false,false,"Fixed Assets",58,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
23,15020,"Vehicles","balancesheet","debit","non-closing account",false,false,false,"Fixed Assets",58,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
24,15030,"Machinery and Equipment","balancesheet","debit","non-closing account",false,false,false,"Fixed Assets",58,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
25,15040,"Computer Equipment","balancesheet","debit","non-closing account",false,false,false,"Fixed Assets",58,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
26,15050,"Software","balancesheet","debit","non-closing account",false,false,false,"Fixed Assets",58,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
27,15060,"Leasehold Improvements","balancesheet","debit","non-closing account",false,false,false,"Fixed Assets",58,,,,"None",false,"active",2022-05-10T01:58:07Z,2020-07-06T19:06:03Z,5,11,,,,false,false,false,false,false,false,false,false,false,2024-07-11T11:02:51Z
