glaccountno,startbalance,startbalancedebit,startbalancecredit,debits,credits,adjdebits,adjcredits,endbalance,endbalancedebit,endbalancecredit,reportingbook,currency
10000,65104.27,2935273.17,2870168.9,5267106.27,5316996.01,0.00,0.00,15214.53,8202379.44,8187164.91,ACCRUAL,USD
10010,105222.16,105222.16,0,11627810.97,10277951.72,0.00,0.00,1455081.41,11733033.13,10277951.72,ACCRUAL,USD
10011,249876.02,249876.02,0,26350.56,24279.7,0.00,0.00,251946.88,276226.58,24279.7,ACCRUAL,USD
10030,0,0,0,0.00,184996.08,0.00,0.00,-184996.08,0,184996.08,ACCRUAL,USD
10040,0,0,0,11744806.32,11679835.5,0.00,0.00,64970.82,11744806.32,11679835.5,ACCRUAL,USD
10050,0,0,0,355207.77,355207.77,0.00,0.00,0.00,355207.77,355207.77,ACCRUAL,USD
10060,0,0,0,8983.89,0.00,0.00,0.00,8983.89,8983.89,0,ACCRUAL,USD
10070,0,0,0,0.00,96897.26,0.00,0.00,-96897.26,0,96897.26,ACCRUAL,USD
10071,0,0,0,17486,0.00,0.00,0.00,17486,17486,0,ACCRUAL,USD
10072,0,0,0,403.15,0.00,0.00,0.00,403.15,403.15,0,ACCRUAL,USD
10073,0,0,0,500,0.00,0.00,0.00,500,500,0,ACCRUAL,USD
10080,0,0,0,0.00,369531.95,0.00,0.00,-369531.95,0,369531.95,ACCRUAL,USD
10810,0,130119.43,130119.43,2596.89,0.00,0.00,0.00,2596.89,132716.32,130119.43,ACCRUAL,USD
10900,0,0,0,7386425.27,7340457.06,0.00,0.00,45968.21,7386425.27,7340457.06,ACCRUAL,USD
11000,1821139.25,4079487.93,2258348.68,24856598.67,12133758.56,0.00,0.00,14543979.36,28936086.6,14392107.24,ACCRUAL,USD
11010,0,0,0,0.00,32599,0.00,0.00,-32599,0,32599,ACCRUAL,USD
11020,0,0,0,38685.08,0.00,0.00,0.00,38685.08,38685.08,0,ACCRUAL,USD
11200,-952.37,0,952.37,20048.27,0.00,0.00,0.00,19095.9,20048.27,952.37,ACCRUAL,USD
11400,0,0,0,33333.67,0.00,0.00,0.00,33333.67,33333.67,0,ACCRUAL,USD
11500,133239,133239,0,1775914.25,1198586.8,0.00,0.00,710566.45,1909153.25,1198586.8,ACCRUAL,USD
12010,0,0,0,340807.55,340807.55,0.00,0.00,0.00,340807.55,340807.55,ACCRUAL,USD
12020,3152359.11,3152359.11,0,1182233.15,82902.59,0.00,0.00,4251689.67,4334592.26,82902.59,ACCRUAL,USD
12030,352500,352500,0,12009.89,364509.89,0.00,0.00,0.00,364509.89,364509.89,ACCRUAL,USD
12040,0,535000,535000,5086182.29,5086182.89,0.00,0.00,-0.6,5621182.29,5621182.89,ACCRUAL,USD
12041,0,0,0,3993.73,3993.73,0.00,0.00,0.00,3993.73,3993.73,ACCRUAL,USD
12050,-17739.11,0,17739.11,414079.04,396339.93,0.00,0.00,0.00,414079.04,414079.04,ACCRUAL,USD
12060,0,0,0,3460628.89,3460628.89,0.00,0.00,0.00,3460628.89,3460628.89,ACCRUAL,USD
12400,0,0,0,0.00,1033051.99,0.00,0.00,-1033051.99,0,1033051.99,ACCRUAL,USD
12410,0,0,0,26500.01,0.00,0.00,0.00,26500.01,26500.01,0,ACCRUAL,USD
12510,0,0,0,781151.2,781151.2,0.00,0.00,0.00,781151.2,781151.2,ACCRUAL,USD
12520,0,0,0,1351910.03,3664466.7,0.00,0.00,-2312556.67,1351910.03,3664466.7,ACCRUAL,USD
12530,0,0,0,2403204.73,2403204.73,0.00,0.00,0.00,2403204.73,2403204.73,ACCRUAL,USD
12540,0,565000,565000,3761333.51,3761333.51,0.00,0.00,0.00,4326333.51,4326333.51,ACCRUAL,USD
12541,0,0,0,495490.75,495490.75,0.00,0.00,0.00,495490.75,495490.75,ACCRUAL,USD
