First Column,Second Column,Parent Folder Name
Accounts Payable,AP Adjustment Lines.txt,available_data
Accounts Payable,AP Adjustments.txt,available_data
Accounts Payable,AP Payment Details.txt,available_data
Accounts Payable,AP Payments.txt,available_data
Accounts Payable,AP Summaries.txt,available_data
Accounts Payable,AP Terms.txt,available_data
Accounts Payable,Bill Lines.txt,available_data
Accounts Payable,Bills.txt,available_data
Accounts Payable,Recurring Bill Lines.txt,available_data
Accounts Payable,Recurring Bills.txt,available_data
Accounts Payable,Vendor Types.txt,available_data
Accounts Payable,Vendors.txt,available_data
Accounts Receivable,AR Adjustment Lines.txt,available_data
Accounts Receivable,AR Adjustments.txt,available_data
Accounts Receivable,AR Advances.txt,available_data
Accounts Receivable,AR Payments.txt,available_data
Accounts Receivable,AR Summaries.txt,available_data
Accounts Receivable,AR Terms.txt,available_data
Accounts Receivable,Customer Types.txt,available_data
Accounts Receivable,Customers.txt,available_data
Accounts Receivable,Invoices.txt,available_data
Cash Management,Checking Account Reconciliations.txt,available_data
Cash Management,Checking Accounts.txt,available_data
Cash Management,Deposit Lines.txt,available_data
Cash Management,Deposits.txt,available_data
Cash Management,Fund Transfer Lines.txt,available_data
Cash Management,Fund Transfers.txt,available_data
Cash Management,Other Receipts.txt,available_data
Employee Expenses,Employees.txt,available_data
General Ledger,Account Group Hierarchy.txt,available_data
General Ledger,Account Group Purposes.txt,available_data
General Ledger,Account Groups.txt,available_data
General Ledger,Accounts.txt,available_data
General Ledger,Budget Details.txt,available_data
General Ledger,Budgets.txt,available_data
General Ledger,General Ledger Details.txt,available_data
General Ledger,Statistical Accounts.txt,available_data
General Ledger,Statistical Journal Entries.txt,available_data
General Ledger,Statistical Journal Entry Lines.txt,available_data
Inventory Control, Item GL Groups.txt,available_data
Inventory Control,Available Inventory.txt,available_data
Inventory Control,Inventory Total Details.txt,available_data
Inventory Control,Item Groups.txt,available_data
Inventory Control,Item Warehouse Details.txt,available_data
Inventory Control,Items.txt,available_data
Inventory Control,Units of Measure Related Units.txt,available_data
Inventory Control,Units of Measure.txt,available_data
Order Entry,Order Entry Transaction Definitions.txt,available_data
Order Entry,Order Entry Transaction Lines.txt,available_data
Order Entry,Order Entry Transaction Subtotals.txt,available_data
Order Entry,Order Entry Transactions.txt,available_data
Platform Services,Applications.txt,available_data
Platform Services,Objects.txt,available_data
Project and Resource Management,Project Statuses.txt,available_data
Project and Resource Management,Projects.txt,available_data
